what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.textStart",1330106688511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330106739713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330106925571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330107094420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330107101641
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330107146017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330107373857
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330107410104
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330107412098
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330107433289
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330107485300
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330107504992
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330107623401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330108068174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330108193717
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330108195161
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330108214485
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330108217723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330108396407
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330108485936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330108898107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330108908836
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330108910144
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330108910734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330109100161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330109120050
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330109161140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330109163356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330109240540
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1330109393636
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330109399240
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330109442092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330109448499
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1330109481050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330109487697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330109506413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330109524377
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330109525553
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330109614966
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330115761520
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330115826650
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330115861227
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330115889571
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330115897914
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330115913687
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavadocView",1330115921336
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavadocView",1330115921376
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1330115933971
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1330115935611
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.SourceView",1330115937214
